source,target,weight
SHaberTV,yurtgazetesi,0.20052766715943895
SHaberTV,SozcuGazetesi,0.082387800823878
AkitGazetem,tvahaber,0.6195877736343637
AkitGazetem,stargazete,0.5081134636688459
AkitGazetem,SHaberTV,0.1893011499274469
AkitGazetem,AkitGazetem,1.0
AkitGazetem,Haber7,0.605771481175204
AkitGazetem,Haberturk,0.28603079995631214
AkitGazetem,Vatan,0.14530035963237578
AkitGazetem,cnnturk,0.18166357210840836
AkitGazetem,AydinlikGazete,0.09399135604062973
AkitGazetem,yenisafak,0.6730508183676335
AkitGazetem,Halk_TV,0.008744784690468493
AkitGazetem,Aksam,0.2961336225055
AkitGazetem,cumhuriyetgzt,0.02428
AkitGazetem,medyatavacom,0.1185813920831318
AkitGazetem,Hurriyet,0.17064018348910143
AkitGazetem,Sabah,0.5401538437534131
AkitGazetem,trthaber,0.6476182303287513
AkitGazetem,bugun,0.2046621210466368
AkitGazetem,ulusalkanalcom,0.07316159835234276
AkitGazetem,ozgurgundemweb,0.029148614980547136
AkitGazetem,milligazetecom,0.14472001069171583
AkitGazetem,imc_televizyonu,0.045724048618370754
AkitGazetem,bbcturkce,0.27022514861681046
AkitGazetem,zamancomtr,0.266776926557551
AkitGazetem,turkiyegazetesi,0.17867896880988035
AkitGazetem,BirGun_Gazetesi,0.11077998470924155
AkitGazetem,Taraf_Medya,0.10444524192164266
AkitGazetem,zaytung,0.05934530589318313
AkitGazetem,postacomtr,0.06943010714412844
AkitGazetem,milliyet,0.28858186016757426
AkitGazetem,t24comtr,0.13366151253686165
AkitGazetem,ihacomtr,0.35568956639777816
AkitGazetem,radikal,0.22782449953971695
AkitGazetem,HaberMynet,0.07218426995773711
AkitGazetem,dhainternet,0.27230812438563917
AkitGazetem,Cihan_Haber,0.30022936137679235
AkitGazetem,evrenselgzt,0.05564743879795915
AkitGazetem,ntv,0.09839134979950383
AkitGazetem,yurtgazetesi,0.07514315582531089
AkitGazetem,SozcuGazetesi,0.0215364602153646
Haber7,tvahaber,0.5188644677643158
Haber7,stargazete,0.42732958808032523
Haber7,SHaberTV,0.2579345583177754
Haber7,AkitGazetem,0.605771481175204
Haber7,Haber7,1.0
Haber7,Haberturk,0.2805993220284684
Haber7,Vatan,0.42906362385117436
Haber7,cnnturk,0.18225941120995692
Haber7,AydinlikGazete,0.14341791358759629
Haber7,yenisafak,0.5223181040615357
Haber7,Halk_TV,0.034178559881760655
Haber7,Aksam,0.24945469669793152
Haber7,cumhuriyetgzt,0.08122666666666667
Haber7,medyatavacom,0.12401915741395654
Haber7,Hurriyet,0.17075632069294858
Haber7,Sabah,0.4834261389461207
Haber7,trthaber,0.6895787406068106
Haber7,bugun,0.2232020994861431
Haber7,ulusalkanalcom,0.09120779403719464
Haber7,ozgurgundemweb,0.08064654696302115
Haber7,milligazetecom,0.28621341428489605
Haber7,imc_televizyonu,0.06552224542526458
Haber7,bbcturkce,0.2716891822894454
Haber7,zamancomtr,0.29806920275273263
Haber7,turkiyegazetesi,0.32516947651482214
Haber7,BirGun_Gazetesi,0.10082613593691325
Haber7,Taraf_Medya,0.12168209206340015
Haber7,zaytung,0.07148935488586011
Haber7,postacomtr,0.2075606022852668
Haber7,milliyet,0.3276548712434751
Haber7,t24comtr,0.1299647497129333
Haber7,ihacomtr,0.5730261777020036
Haber7,radikal,0.22953721334879093
Haber7,HaberMynet,0.306270088930121
Haber7,dhainternet,0.28899087161189435
Haber7,Cihan_Haber,0.33083649192781384
Haber7,evrenselgzt,0.12111404695381736
Haber7,ntv,0.11979232366433001
Haber7,yurtgazetesi,0.17785071121893944
Haber7,SozcuGazetesi,0.061646310616463106
Haberturk,tvahaber,0.3336844244515748
Haberturk,stargazete,0.4972957412286058
Haberturk,SHaberTV,0.171530575480659
Haberturk,AkitGazetem,0.28603079995631214
Haberturk,Haber7,0.2805993220284684
Haberturk,Haberturk,1.0
Haberturk,Vatan,0.29423256226967986
Haberturk,cnnturk,0.5182616938676544
Haberturk,AydinlikGazete,0.16974983998531892
Haberturk,yenisafak,0.2873338424825545
Haberturk,Halk_TV,0.043185072283035426
Haberturk,Aksam,0.3560718311556649
Haberturk,cumhuriyetgzt,0.2486
